 ,Area,Mean,Min,Max,Angle,Length
1,401,117.461,76.467,180.542,91.432,400.125
2,419,109.237,69.663,124.362,91.370,418.120
3,683,96.739,68.392,124.261,91.512,682.237
4,389,115.906,82.031,184.973,91.181,388.082
5,425,105.540,72.931,173.984,91.351,424.118
6,677,97.013,73.032,173.036,90.509,676.027
7,831,91.516,63.683,173.667,90.552,830.039
8,925,88.041,57.212,174.333,90.744,924.078
9,473,95.820,54.311,176.000,90.243,472.004
10,487,98.701,53.753,176.000,90.707,486.037
11,521,86.886,56.000,151.621,89.780,520.004
12,597,88.087,55.000,149.930,90.577,596.030
13,669,87.668,54.441,150.096,90.343,668.012
14,531,78.715,41.299,148.586,89.568,530.015
15,603,80.095,40.868,148.000,89.810,602.003
16,831,73.343,42.011,147.333,89.862,830.002
17,929,69.986,41.162,148.534,90.123,928.002
18,267,89.531,62.258,169.088,88.708,266.068
19,293,97.159,51.333,170.667,90.000,292.000
20,327,100.535,53.000,168.667,90.000,326.000
21,377,97.734,56.699,168.365,89.390,376.021
22,469,93.137,49.333,168.667,90.000,468.000
23,503,91.944,53.065,170.426,90.228,502.004
24,871,71.769,36.897,170.046,89.737,870.009
25,267,64.597,46.333,87.333,90.000,266.000
26,419,62.522,37.687,107.282,89.452,418.019
